verbatimRecordedByID	recordedByLastName	recordedBy	recordedByID
BRUM10	Brummitt$Goldblatt	Brummitt R.K. & Goldblatt P.	""
GILTG	Gilta	Gilta G.	""
GILL07	Gillett$Watson	Gillett J.B. & Watson R.M.	""
B043	Buchet	Buchet S.	https://www.ipni.org/ipni/idAuthorSearch.do?id=1246-1
HOLYS	Holyoak	Holyoak S.A.	""
JOHNS1	Johnson	Johnson S.M.	""
BRUCEA	Bruce	Bruce A.W.	""
BRANZUNI	Brant$Zuniga	Brant A.E. & Zuniga Ramon	""
CHINR	Ching	Ching R.C.	""
COMPM	Compano	Compano M.	""
DORAETAL	Dorantes	Dorantes J. et al.	""
LNTJA	Lantz	Lantz J.A.	""
DWIN02	De Winter$Wiss	De Winter B. & Wiss H.J.	""
COUDL	Coudray	Coudray L.D.	http://www.wikidata.org/entity/Q61314878
MLLAL	Millson	Millson A.	""
J998	von Jacquin	Jacquin N.	""
BRAN1	Brands	Brands	""
HERTW	Herter	Herter W.G.F.	""
F040	Farneti	Farneti	""
F039	Fawcett	Fawcett H.S.	""
R028	Ravenel	Ravenel H.W.	https://viaf.org/viaf/65917126/
S597	Saunders	Saunders D.	""
PARRM	Parry	Parry M.S.	""
N995	Navornik	Navornik J.	""
HAKU	Hatschbach$Kummrow	Hatschbach G. & Kummrow R.	""
T951	Tristan	Tristan J.M.C.	""
HUTE1	Huter	Huter R.	https://www.ipni.org/ipni/idAuthorSearch.do?id=4253-1
LAUR	Laurent	Laurent	""
S226	Shepheard	Shepheard E	""
CEDIR	Cedillo	Cedillo R.T.	""
KINDH	Kindberg	Kindberg H.C.	""
POLGS	Polgár	Polgár S.	""
POLIA	Politow	Politow A.	""
BECKJ	Becker	Becker J.Ph.	""
LAEGS	Lægaard	Lægaard S.	""
F044	Francis	Francis S.M.	""
Y003	Young	Young H.E.	""
COLLL	Colla	Colla L.	https://www.ipni.org/ipni/idAuthorSearch.do?id=1738-1
DUMBB	Dumbo	Dumbo B.	""
F795	De Filippi	De Filippi	""
BARB1	Barbarin	Barbarin	""
ELLIT	Ellilä	Ellilä Tauno	""
WILDH	Wild	Wild H.	https://viaf.org/viaf/215944325/
OHOTO	Ohoto	Ohoto O.	""
STUTJ	Stutchbury	Stutchbury J.	""
K092	Kruijt	Kruijt R.Ch.	""
BELEPINH	Belém$Pinheiro	Belém R.P. & Pinheiro R.S.	""
D170	De Meyere	De Meyere D.	""
D169	De Block$Dessein	De Block P. & Dessein S.	""
